id,name,lat,lon
353,Carrefour Pleyel,48.91957307,2.343305928
354,Mairie de Saint-Ouen,48.9119649,2.33392489
355,Garibaldi,48.90609405,2.331830838
356,Porte de Saint-Ouen,48.8973748,2.328942813
357,Guy Môquet,48.89282885,2.327428459
358,La Fourche,48.88718395,2.325779675
359,Place de Clichy,48.88343001,2.327228336
360,Liège,48.87963476,2.327022201
361,Saint-Lazare,48.87593315,2.325727961
362,Miromesnil,48.87368521,2.31446799
363,Champs-Élysées - Clemenceau,48.86779973,2.313881938
364,Invalides,48.86290184,2.313908906
365,Varenne,48.85687138,2.315056637
366,Saint-François-Xavier,48.85144171,2.314408121
367,Duroc,48.84685485,2.316634671
368,Montparnasse - Bienvenüe,48.84118692,2.320509228
369,Gaîté,48.83863165,2.322491748
370,Pernety,48.83393639,2.318078284
371,Plaisance,48.83182565,2.314122323
372,Porte de Vanves,48.82770461,2.305340931
373,Malakoff - Plateau de Vanves,48.82258371,2.298464195
374,Malakoff - Rue Étienne-Dolet,48.81530753,2.297077797
375,Châtillon - Montrouge,48.81074649,2.301678557
376,Saint-Lazare,48.87555556,2.326111111
377,Madeleine,48.87,2.325277778
378,Pyramides,48.86694444,2.333611111
379,Châtelet,48.85861111,2.347222222
380,Gare de Lyon,48.84472222,2.374166667
381,Bercy,48.84055556,2.379444444
382,Cour Saint-Émilion,48.83361111,2.3875
383,Bibliothèque François-Mitterrand,48.82972222,2.376111111
384,Olympiades,48.82694444,2.367222222
385,Cergy-le-Haut,49.0478762,2.01099976
386,Cergy-Saint-Christophe,49.04964701,2.034294463
387,Cergy-Préfecture,49.03646398,2.079534941
388,Neuville-Université,49.01413369,2.078306591
389,Conflans-Fin-d'Oise,48.99189837,2.07362062
390,Achères-Ville,48.97066505,2.077731766
391,Poissy,48.93326541,2.04107229
392,Achères - Grand-Cormier,48.95540224,2.093521903
393,Maisons-Laffitte,48.94579593,2.144558757
394,Sartrouville,48.93773606,2.157086495
395,Houilles - Carrières-sur-Seine,48.92037937,2.185353376
396,Saint-Germain-en-Laye,48.89807641,2.094836628
397,Le Vésinet - Le Pecq,48.89797345,2.122117446
398,Le Vésinet-Centre,48.89008624,2.134600874
399,Chatou - Croissy,48.88521122,2.155903475
400,Rueil-Malmaison,48.88757362,2.172579449
401,Nanterre-Ville,48.89512589,2.195363987
402,Nanterre-Université,48.90165507,2.215155873
403,Nanterre-Préfecture,48.89574531,2.223212967
404,La Défense Grande Arche,48.89218708,2.237018056
405,Charles de Gaulle - Étoile,48.87423848,2.294490591
406,Auber,48.87215749,2.329927171
407,Châtelet - Les Halles,48.86182227,2.347012689
408,Gare de Lyon,48.84413935,2.373259978
409,Nation,48.84823711,2.395823589
410,Vincennes,48.84730836,2.433299722
411,Fontenay-sous-Bois,48.84372026,2.463708038
412,Nogent-sur-Marne,48.8342889,2.471681241
413,Joinville-le-Pont,48.82103882,2.463856797
414,Saint-Maur - Créteil,48.80620002,2.472720404
415,Le Parc de Saint-Maur,48.80537766,2.486349753
416,Champigny Saint-Maur,48.80698507,2.510307236
417,La Varenne - Chennevières,48.79538384,2.513423301
418,Sucy - Bonneuil,48.77170791,2.507482646
419,Boissy-Saint-Léger,48.75218572,2.504559837
420,Val de Fontenay,48.8543531,2.489137306
421,Neuilly-Plaisance,48.85348571,2.513825291
422,Bry-sur-Marne,48.84490114,2.525922545
423,Noisy-le-Grand - Mont d'Est,48.84084343,2.547775189
424,Noisy - Champs Champy - Nesles,48.84288484,2.580085917
425,Noisiel Le Luzard,48.84349165,2.615952483
426,Lognes Le Mandinet,48.8392193,2.633210918
427,Torcy,48.83964552,2.655130087
428,Bussy-Saint-Georges,48.83653643,2.708981741
429,Serris - Montévrain Val d'Europe,48.85539481,2.773433919
430,Marne-la-Vallée - Chessy Parcs Disneyland,48.86995013,2.782226723
431,Aéroport Charles-de-Gaulle 2 TGV,49.00468746,2.570589486
432,Aéroport Charles-de-Gaulle 1,49.00975645,2.561232695
433,Parc des Expositions,48.97342491,2.514360286
434,Villepinte,48.96270952,2.512644626
435,Sevran - Beaudottes,48.94760756,2.524716389
436,Mitry - Claye,48.97585875,2.642406302
437,Villeparisis - Mitry-le-Neuf,48.95314839,2.603135311
438,Vert-Galant,48.94418107,2.566448016
439,Sevran - Livry,48.93628018,2.534714973
440,Aulnay-sous-Bois,48.93219601,2.495513141
441,Le Blanc-Mesnil,48.93230542,2.475674372
442,Drancy,48.93270622,2.454766386
443,Le Bourget,48.93073957,2.425791424
444,La Courneuve - Aubervilliers,48.92435388,2.386388286
445,La Plaine - Stade de France Saint-Denis - Aubervilliers,48.9181138,2.362665597
446,Gare du Nord,48.88092201,2.356328544
447,Châtelet - Les Halles,48.86182227,2.347012689
448,Saint-Michel - Notre-Dame,48.8532519,2.34466048
449,Luxembourg Sénat,48.84574307,2.339927998
450,Port-Royal,48.84003379,2.337096431
451,Denfert-Rochereau,48.83429298,2.33285231
452,Cité Universitaire,48.82026761,2.33897518
453,Gentilly,48.81522993,2.340891134
454,Laplace,48.80829659,2.334354311
455,Arcueil - Cachan,48.7988925,2.328136923
456,Bagneux,48.7933363,2.322201636
457,Bourg-la-Reine,48.7803138,2.312307717
458,Sceaux,48.78135672,2.297647676
459,Fontenay-aux-Roses,48.78761468,2.292492976
460,Robinson,48.7802373,2.281430595
461,Parc de Sceaux,48.77072199,2.310205452
462,La Croix de Berny,48.76169369,2.304227348
463,Antony,48.75494653,2.300986854
464,Fontaine Michalon,48.74337341,2.296393163
465,Les Baconnets,48.73968104,2.287667497
466,Massy - Verrières,48.73471659,2.273483464
467,Massy - Palaiseau,48.72469124,2.258277462
468,Palaiseau,48.71694629,2.245672516
469,Palaiseau - Villebon,48.70814059,2.237314366
470,Lozère École polytechnique,48.70596899,2.212262375
471,Le Guichet,48.70540392,2.192734885
472,Orsay-Ville,48.69750567,2.181054439
473,Bures-sur-Yvette,48.69625275,2.164378243
474,La Hacquinière,48.69526412,2.15164204
475,Gif-sur-Yvette,48.69819698,2.136566714
476,Courcelle-sur-Yvette,48.70121772,2.097975861
477,Saint-Rémy-lès-Chevreuse,48.70275104,2.071242848
478,Pontoise,49.04664576,2.095195067
479,Saint-Ouen-l'Aumône,49.04531165,2.10511071
480,Saint-Ouen-l'Aumône-Liesse,49.03398764,2.128263873
481,Pierrelaye,49.01913674,2.154663477
482,Montigny - Beauchamp,49.0074233,2.197619807
483,Franconville - Le Plessis-Bouchard,48.99371348,2.234276395
484,Cernay,48.9850047,2.257474156
485,Ermont - Eaubonne,48.9806461,2.272084773
486,Saint-Gratien,48.96358968,2.28593072
487,Épinay-sur-Seine,48.95339647,2.30234042
488,Gennevilliers,48.93332606,2.307731819
489,Les Grésillons,48.9208728,2.313835382
490,Saint-Ouen,48.90565496,2.322400403
491,Porte de Clichy,48.89416839,2.315599219
492,Pereire - Levallois,48.88502842,2.297362301
493,Neuilly - Porte Maillot,48.8773496,2.283795557
494,Avenue Foch,48.87097414,2.275574527
495,Avenue Henri-Martin,48.86446175,2.272120622
496,Boulainvilliers,48.85653155,2.275167155
497,Avenue du Président-Kennedy,48.85364805,2.279487072
498,Saint-Quentin-en-Yvelines Montigny-le-Bretonneux,48.78739024,2.04462199
499,Saint-Cyr,48.79870764,2.071847
500,Versailles-Chantiers,48.79528025,2.13605049
501,Versailles-Château-Rive-Gauche,48.80021558,2.129043867
502,Porchefontaine,48.79652818,2.152378655
503,Viroflay-Rive-Gauche,48.80071846,2.171389814
504,Chaville - Vélizy,48.79944444,2.184166667
505,Meudon-Val-Fleury,48.80749262,2.240883067
506,Issy,48.81967449,2.258759767
507,Issy - Val de Seine,48.83011964,2.263689649
508,Pont du Garigliano Hôpital Européen Georges-Pompidou,48.83908976,2.270458244
509,Javel,48.84619214,2.276760967
510,Champ de Mars - Tour Eiffel,48.85729342,2.290391555
511,Pont de l'Alma,48.86266245,2.300989964
512,Invalides,48.86290184,2.313908906
513,Musée d'Orsay,48.86070823,2.325620292
514,Saint-Michel - Notre-Dame,48.8532519,2.34466048
515,Paris-Austerlitz,48.84236008,2.365581704
516,Bibliothèque François-Mitterrand,48.83025846,2.376310721
517,Ivry-sur-Seine,48.81398905,2.391686972
518,Vitry-sur-Seine,48.8002094,2.402712817
519,Les Ardoines,48.78250544,2.409541655
520,Choisy-le-Roi,48.76378681,2.411386726
521,Petit Jouy - Les Loges,48.77042521,2.146831645
522,Jouy-en-Josas,48.76477601,2.163947085
523,Vauboyen,48.75918899,2.192135806
524,Bièvres,48.75102328,2.215860853
525,Igny,48.74018152,2.230961125
526,Massy - Palaiseau,48.72469124,2.258277462
527,Massy - Verrières,48.73471659,2.273483464
528,Chemin d'Antony,48.7479419,2.312711009
529,Rungis - La Fraternelle,48.74058412,2.353307048
530,Pont de Rungis - Aéroport d'Orly,48.74834968,2.373111941
531,Orly-Ville,48.74187871,2.402908607
532,Les Saules,48.74507217,2.417520978
533,Villeneuve-le-Roi,48.7398307,2.426399822
534,Ablon,48.72553531,2.419565026
535,Athis-Mons,48.71262899,2.403633102
